Students,Priority,Selection 1,Selection 2
Student_0,49,CSE 379,CSE 486
Student_1,42,CSE 379,CSE 460
Student_10,125,CSE 379,CSE 548
Student_100,132,CSE 379,CSE 370
Student_101,26,CSE 379,CSE 495
Student_102,106,CSE 453,CSE 586
Student_103,121,CSE 453,CSE 312
Student_104,91,CSE 453,CSE 476
Student_105,134,CSE 453,CSE 574
Student_106,67,CSE 453,CSE 442
Student_107,117,CSE 453,CSE 486
Student_108,31,CSE 453,CSE 453
Student_109,20,CSE 453,CSE 548
Student_11,82,CSE 453,CSE 312
Student_110,41,CSE 453,CSE 586
Student_111,16,CSE 404,CSE 370
Student_112,54,CSE 404,CSE 442
Student_113,118,CSE 404,CSE 486
Student_114,17,CSE 404,CSE 370
Student_115,136,CSE 404,CSE 495
Student_116,1,CSE 404,CSE 460
Student_117,146,CSE 404,CSE 379
Student_118,102,CSE 404,CSE 370
Student_119,24,CSE 370,CSE 460
Student_12,60,CSE 370,CSE 548
Student_120,9,CSE 370,CSE 460
Student_121,46,CSE 370,CSE 379
Student_122,143,CSE 370,CSE 331
Student_123,135,CSE 370,CSE 460
Student_124,123,CSE 370,CSE 474
Student_125,112,CSE 370,CSE 312
Student_126,98,CSE 370,CSE 443
Student_127,94,CSE 370,CSE 495
Student_128,140,CSE 586,CSE 453
Student_129,39,CSE 586,CSE 331
Student_13,28,CSE 586,CSE 548
Student_130,147,CSE 586,CSE 574
Student_131,145,CSE 586,CSE 474
Student_132,69,CSE 586,CSE 574
Student_133,7,CSE 586,CSE 474
Student_134,8,CSE 586,CSE 474
Student_135,148,CSE 586,CSE 474
Student_136,108,CSE 586,CSE 443
Student_137,51,CSE 586,CSE 404
Student_138,4,CSE 486,CSE 404
Student_139,110,CSE 486,CSE 476
Student_14,109,CSE 486,CSE 574
Student_140,137,CSE 486,CSE 474
Student_141,105,CSE 486,CSE 331
Student_142,116,CSE 486,CSE 474
Student_143,114,CSE 486,CSE 474
Student_144,133,CSE 486,CSE 442
Student_145,15,CSE 486,CSE 453
Student_146,119,CSE 486,CSE 312
Student_147,3,CSE 443,CSE 548
Student_148,50,CSE 443,CSE 476
Student_149,10,CSE 443,CSE 474
Student_15,90,CSE 443,CSE 379
Student_16,2,CSE 443,CSE 460
Student_17,53,CSE 443,CSE 474
Student_18,21,CSE 443,CSE 476
Student_19,13,CSE 443,CSE 331
Student_2,36,CSE 443,CSE 442
Student_20,40,CSE 443,CSE 370
Student_21,115,CSE 443,CSE 312
Student_22,122,CSE 443,CSE 312
Student_23,84,CSE 331,CSE 495
Student_24,58,CSE 331,CSE 379
Student_25,30,CSE 331,CSE 331
Student_26,149,CSE 331,CSE 404
Student_27,66,CSE 331,CSE 443
Student_28,81,CSE 331,CSE 442
Student_29,100,CSE 331,CSE 586
Student_3,74,CSE 331,CSE 476
Student_30,45,CSE 331,CSE 312
Student_31,78,CSE 331,CSE 404
Student_32,25,CSE 495,CSE 460
Student_33,70,CSE 495,CSE 443
Student_34,138,CSE 495,CSE 495
Student_35,71,CSE 495,CSE 586
Student_36,37,CSE 495,CSE 453
Student_37,75,CSE 312,CSE 460
Student_38,93,CSE 312,CSE 443
Student_39,0,CSE 312,CSE 460
Student_4,5,CSE 312,CSE 331
Student_40,48,CSE 312,CSE 486
Student_41,12,CSE 312,CSE 453
Student_42,72,CSE 312,CSE 379
Student_43,55,CSE 312,CSE 404
Student_44,77,CSE 312,CSE 548
Student_45,57,CSE 312,CSE 574
Student_46,61,CSE 460,CSE 486
Student_47,33,CSE 460,CSE 460
Student_48,130,CSE 460,CSE 476
Student_49,107,CSE 460,CSE 548
Student_5,99,CSE 460,CSE 312
Student_50,65,CSE 460,CSE 476
Student_51,129,CSE 460,CSE 379
Student_52,23,CSE 460,CSE 379
Student_53,63,CSE 460,CSE 486
Student_54,113,CSE 460,CSE 486
Student_55,96,CSE 460,CSE 379
Student_56,101,CSE 460,CSE 586
Student_57,64,CSE 460,CSE 443
Student_58,73,CSE 460,CSE 548
Student_59,139,CSE 460,CSE 442
Student_6,83,CSE 460,CSE 379
Student_60,43,CSE 474,CSE 453
Student_61,79,CSE 474,CSE 442
Student_62,127,CSE 474,CSE 460
Student_63,52,CSE 474,CSE 495
Student_64,142,CSE 474,CSE 370
Student_65,62,CSE 474,CSE 379
Student_66,38,CSE 474,CSE 442
Student_67,35,CSE 574,CSE 460
Student_68,124,CSE 574,CSE 312
Student_69,44,CSE 574,CSE 443
Student_7,18,CSE 574,CSE 404
Student_70,144,CSE 574,CSE 476
Student_71,34,CSE 574,CSE 476
Student_72,89,CSE 574,CSE 486
Student_73,131,CSE 574,CSE 548
Student_74,59,CSE 442,CSE 312
Student_75,11,CSE 442,CSE 379
Student_76,126,CSE 442,CSE 474
Student_77,76,CSE 442,CSE 370
Student_78,56,CSE 442,CSE 379
Student_79,120,CSE 442,CSE 312
Student_8,14,CSE 442,CSE 474
Student_80,103,CSE 442,CSE 453
Student_81,22,CSE 442,CSE 548
Student_82,80,CSE 476,CSE 460
Student_83,6,CSE 476,CSE 331
Student_84,32,CSE 476,CSE 460
Student_85,97,CSE 476,CSE 370
Student_86,141,CSE 476,CSE 574
Student_87,95,CSE 476,CSE 548
Student_88,87,CSE 476,CSE 442
Student_89,128,CSE 476,CSE 370
Student_9,29,CSE 476,CSE 370
Student_90,88,CSE 476,CSE 574
Student_91,68,CSE 476,CSE 404
Student_92,47,CSE 548,CSE 370
Student_93,19,CSE 548,CSE 331
Student_94,86,CSE 548,CSE 379
Student_95,92,CSE 548,CSE 379
Student_96,85,CSE 548,CSE 574
Student_97,111,CSE 548,CSE 460
Student_98,27,CSE 548,CSE 474
Student_99,104,CSE 548,CSE 486
